tmax,tmin,día
36,22,1
36,22.5,2
35.5,23,3
36,22,4
36,22,5
35.5,22,6
35,22,7
35.5,22,8
34.5,23,9
34.5,22.5,10
35,22.5,11
35,21.5,12
36,21.5,13
36,23.5,14
36,23,15
36,23,16
36,22.5,17
37,22,18
36,23,19
34,22.5,20
35.5,22,21
35.5,21.5,22
35,21.5,23
35,21.5,24
35,22,25
35,22,26
36,22,27
37,22.5,28
36,22.5,29
37,22.5,30
36,22,31
